token,en,zh-Hans,ja,es,de,fr,note
astra.m.color.note,"36% light blue, 16% blue, 12% orange, 10% light orange, 26% white. Colours come from their own random stream so changing the geometry never reshuffles them. Saturated colours are boosted by up to 42% in energy, and bright stars whiten from the centre out, which is why the big ones look white with a coloured rim.",36% 浅蓝、16% 蓝、12% 橙、10% 浅橙、26% 白。颜色来自独立的一条随机序列，改几何不会把颜色洗牌。饱和色的能量最多补 42%，亮星从中心开始发白，所以大星看起来是白心带彩边。,薄い青 36%、青 16%、橙 12%、薄い橙 10%、白 26%。色は独立した乱数列から来るので、形を変えても色は入れ替わらない。飽和色はエネルギーを最大 42% 補われ、明るい星は中心から白くなる。だから大きな星は白い芯に色の縁が付いて見える。,"36 % azul claro, 16 % azul, 12 % naranja, 10 % naranja claro, 26 % blanco. Los colores salen de su propia secuencia aleatoria, así que cambiar la geometría nunca los baraja. Los colores saturados reciben hasta un 42 % más de energía y las estrellas brillantes blanquean desde el centro: por eso las grandes se ven blancas con un borde de color.","36 % Hellblau, 16 % Blau, 12 % Orange, 10 % Hellorange, 26 % Weiß. Die Farben stammen aus einem eigenen Zufallsstrom, sodass Änderungen an der Geometrie sie nie neu mischen. Gesättigte Farben erhalten bis zu 42 % mehr Energie, und helle Sterne weißen von der Mitte her aus – deshalb wirken die großen weiß mit farbigem Rand.","36 % bleu clair, 16 % bleu, 12 % orange, 10 % orange clair, 26 % blanc. Les couleurs viennent de leur propre suite aléatoire : changer la géométrie ne les rebat jamais. Les couleurs saturées gagnent jusqu’à 42 % d’énergie et les étoiles brillantes blanchissent depuis le centre, d’où ces grosses étoiles blanches à liseré coloré.",math note
astra.m.core.title,The core cluster,核心星团,コアの星団,El cúmulo central,Der Kernhaufen,L’amas central,math title
astra.m.core.vars,"r radius, concentrated by u^2.4 · θ angle · the cluster is squashed to 72% vertically · L brightness, highest at the centre · N_c stars in the cluster · Ω rigid spin, 0.36 × flow speed · T_c one turn",r：半径，被 u^2.4 往中心压 · θ：角度 · 星团在竖直方向压扁到 72% · L：亮度，中心最高 · N_c：星团里的星数 · Ω：刚性自转，等于 0.36 × 流速 · T_c：转一圈的时间,r：半径、u^2.4 で中心へ集中 · θ：角度 · 星団は縦に 72% へ潰される · L：明るさ、中心が最大 · N_c：星団の星数 · Ω：剛体回転、流速の 0.36 倍 · T_c：一周の時間,"r radio, concentrado por u^2,4 · θ ángulo · el cúmulo se aplasta al 72 % en vertical · L brillo, máximo en el centro · N_c estrellas del cúmulo · Ω giro rígido, 0,36 × velocidad de flujo · T_c una vuelta","r Radius, durch u^2,4 zur Mitte konzentriert · θ Winkel · der Haufen ist vertikal auf 72 % gestaucht · L Helligkeit, in der Mitte am höchsten · N_c Sterne im Haufen · Ω starre Rotation, 0,36 × Strömungsgeschwindigkeit · T_c eine Umdrehung","r rayon, concentré par u^2,4 · θ angle · l’amas est aplati à 72 % verticalement · L luminosité, maximale au centre · N_c étoiles de l’amas · Ω rotation rigide, 0,36 × vitesse du flux · T_c un tour",math vars
astra.m.core.note,"The core is not a glow painted on top; it is about a hundred real stars packed into a radius of 0.42 units, elliptical, brightest and whitest in the middle, rendered 22% hotter than the arms. The cluster turns as a rigid body in the same direction the arms flow, and the lens flare sits on its brightest member.",核心不是画上去的一团光，而是约一百颗真实的星挤在 0.42 个单位的椭圆半径里，中间最亮最白，整体比臂亮 22%。这团星像刚体一样自转，方向与臂的流向相同；镜头光晕就落在它最亮的那颗上。,コアは上に描いた光ではなく、約百個の実在の星が半径 0.42 単位の楕円に詰め込まれたもの。中央が最も明るく白く、腕より 22% 熱く描かれる。この星団は腕の流れと同じ向きに剛体として回転し、レンズフレアはその最も明るい一つに乗る。,"El núcleo no es un brillo pintado encima: son un centenar de estrellas reales apretadas en un radio de 0,42 unidades, elíptico, más brillante y blanco en el centro, renderizado un 22 % más cálido que los brazos. El cúmulo gira como un cuerpo rígido en el mismo sentido en que fluyen los brazos, y el destello se apoya en su miembro más brillante.","Der Kern ist kein aufgemaltes Leuchten, sondern rund hundert echte Sterne, in einen Radius von 0,42 Einheiten gedrängt, elliptisch, in der Mitte am hellsten und weißesten, 22 % heißer gerendert als die Arme. Der Haufen dreht sich als starrer Körper in dieselbe Richtung, in die die Arme strömen, und der Lens Flare sitzt auf seinem hellsten Mitglied.","Le noyau n’est pas une lueur peinte par-dessus : c’est une centaine de vraies étoiles serrées dans un rayon de 0,42 unité, elliptique, plus brillant et plus blanc au centre, rendu 22 % plus chaud que les bras. L’amas tourne d’un bloc dans le sens du flux des bras, et le reflet d’objectif repose sur son membre le plus brillant.",math note
astra.m.flow.title,Streaming inward,向内流,内へ流れる,Fluir hacia dentro,Nach innen strömen,Filer vers l’intérieur,math title
astra.m.flow.vars,"φ_k phase of a star on stroke k · ω_k the stroke’s own rate in turns per second (0.025, 0.018, 0.021, 0.016, 0.03), signed toward the core · v flow speed · τ(t) time with the entrance gate integrated · vis fade at both ends · T_k seconds for one star to cross stroke k · ṡ_k its speed in world units per second · t_flow when the flow starts",φ_k：第 k 条笔画上一颗星的相位 · ω_k：该笔画自己的速率，周/秒（0.025、0.018、0.021、0.016、0.03），符号朝向核心 · v：流速 · τ(t)：把入场门控积分进去的时间 · vis：两端的淡入淡出 · T_k：一颗星走完第 k 条笔画的秒数 · ṡ_k：它的线速度，世界单位/秒 · t_flow：流动开始的时刻,"φ_k：k 番目の筆致上の星の位相 · ω_k：その筆致固有の速さ、周/秒（0.025, 0.018, 0.021, 0.016, 0.03）、符号は中心向き · v：流速 · τ(t)：登場のゲートを積分した時間 · vis：両端のフェード · T_k：星が k 番目の筆致を渡り切る秒数 · ṡ_k：その線速度、ワールド単位/秒 · t_flow：流れが始まる時刻","φ_k fase de una estrella en el trazo k · ω_k ritmo propio del trazo en vueltas por segundo (0,025, 0,018, 0,021, 0,016, 0,03), con signo hacia el núcleo · v velocidad de flujo · τ(t) tiempo con la puerta de entrada integrada · vis atenuación en ambos extremos · T_k segundos que tarda una estrella en recorrer el trazo k · ṡ_k su velocidad en unidades de mundo por segundo · t_flow cuándo empieza el flujo","φ_k Phase eines Sterns auf Strich k · ω_k die eigene Rate des Strichs in Umläufen pro Sekunde (0,025, 0,018, 0,021, 0,016, 0,03), zum Kern hin vorzeichenbehaftet · v Strömungsgeschwindigkeit · τ(t) Zeit mit einintegriertem Eintrittstor · vis Ausblenden an beiden Enden · T_k Sekunden, die ein Stern für Strich k braucht · ṡ_k seine Geschwindigkeit in Welteinheiten pro Sekunde · t_flow wann die Strömung einsetzt","φ_k phase d’une étoile sur le trait k · ω_k cadence propre du trait en tours par seconde (0,025, 0,018, 0,021, 0,016, 0,03), signée vers le noyau · v vitesse du flux · τ(t) temps intégrant la porte d’entrée · vis fondu aux deux bouts · T_k secondes qu’il faut à une étoile pour parcourir le trait k · ṡ_k sa vitesse en unités monde par seconde · t_flow instant où le flux démarre",math vars
astra.m.flow.note,"Nothing rotates as a pattern. Each star keeps a phase along its stroke and the phase advances at a constant rate, so every star moves at constant speed along the curve and the angular rate falls off as 1/r on the round parts. The sign is chosen per stroke so that motion always heads for the end nearer the core. Stars fade over the last 5.5% at each end, and the flow only opens once the entrance is 55% done.",没有任何东西作为图案在转。每颗星沿自己的笔画记一个相位，相位以恒定速率推进，所以星沿曲线匀速运动，在圆弧段上角速度按 1/r 衰减。每条笔画的符号各自选定，保证运动永远朝更靠近核心的那一端。两端各 5.5% 的一段淡入淡出；流动要等入场过半（55%）之后才逐渐开启。,図形として回転するものは何もない。各星は自分の筆致上に位相を持ち、位相は一定速度で進む。だから星は曲線に沿って等速で動き、円弧の部分では角速度が 1/r で落ちる。符号は筆致ごとに選ばれ、動きは常に中心に近い端へ向かう。両端 5.5% でフェードし、流れは登場が 55% 進んでから開く。,"Nada gira como patrón. Cada estrella guarda una fase a lo largo de su trazo y la fase avanza a ritmo constante, así que toda estrella se mueve a velocidad constante por la curva y la velocidad angular cae como 1/r en los tramos redondos. El signo se elige por trazo para que el movimiento vaya siempre hacia el extremo más cercano al núcleo. Las estrellas se atenúan en el último 5,5 % de cada extremo, y el flujo solo se abre cuando la entrada va por el 55 %.","Nichts dreht sich als Muster. Jeder Stern führt eine Phase entlang seines Strichs, und die Phase schreitet mit konstanter Rate voran; jeder Stern bewegt sich also mit konstanter Geschwindigkeit entlang der Kurve, und die Winkelrate fällt auf den runden Teilen mit 1/r ab. Das Vorzeichen wird je Strich so gewählt, dass die Bewegung immer zum kernnäheren Ende führt. Sterne blenden über die letzten 5,5 % an jedem Ende aus, und die Strömung öffnet sich erst, wenn der Eintritt zu 55 % vollzogen ist.","Rien ne tourne en tant que motif. Chaque étoile garde une phase le long de son trait et cette phase avance à cadence constante : chaque étoile se déplace donc à vitesse constante le long de la courbe, et la vitesse angulaire décroît en 1/r sur les portions rondes. Le signe est choisi trait par trait pour que le mouvement aille toujours vers le bout le plus proche du noyau. Les étoiles s’estompent sur les derniers 5,5 % à chaque bout, et le flux ne s’ouvre qu’une fois l’entrée accomplie à 55 %.",math note
astra.m.twinkle.title,Twinkle,闪烁,またたき,Parpadeo,Funkeln,Scintillement,math title
astra.m.twinkle.vars,"a amplitude of the brightness swing · φ a phase per star · ω twinkle rate · ρ a rate per star between 0.65 and 1.35 · the point size follows with 3%, the opacity with 8%",a：亮度摆动的幅度 · φ：每颗星自己的相位 · ω：闪烁频率 · ρ：每颗星 0.65 到 1.35 之间的速率 · 点的尺寸跟着摆 3%，不透明度跟着摆 8%,a：明るさの揺れの振幅 · φ：星ごとの位相 · ω：またたきの速さ · ρ：星ごとの 0.65〜1.35 の速度 · 点の大きさは 3%、不透明度は 8% 追随する,"a amplitud de la oscilación de brillo · φ una fase por estrella · ω ritmo de parpadeo · ρ un ritmo por estrella entre 0,65 y 1,35 · el tamaño del punto sigue con un 3 %, la opacidad con un 8 %","a Amplitude der Helligkeitsschwankung · φ eine Phase je Stern · ω Funkelrate · ρ eine Rate je Stern zwischen 0,65 und 1,35 · die Punktgröße folgt mit 3 %, die Deckkraft mit 8 %","a amplitude de l’oscillation de luminosité · φ une phase par étoile · ω rythme du scintillement · ρ une cadence par étoile entre 0,65 et 1,35 · la taille du point suit à 3 %, l’opacité à 8 %",math vars
astra.m.twinkle.note,"A slow sine, not a flicker: at ω = 0.62 a star takes ten seconds or more to breathe once. It moves the brightness by ±14% and the size by only ±3%, so the field shimmers without ever seeming to blink. Like the flow, it stays frozen until the entrance is more than half done.",是慢慢的正弦，不是闪。ω = 0.62 时一颗星呼吸一次要十秒以上；亮度摆 ±14%，尺寸只摆 ±3%，所以整片星空是在微微发亮，而不是在眨眼。和流动一样，它要到入场过半才开始。,速い点滅ではなく、ゆっくりした正弦。ω = 0.62 なら星が一度呼吸するのに十秒以上かかる。明るさは ±14%、大きさは ±3% しか動かないので、場はきらめくが瞬きには見えない。流れと同じく、登場が半分を過ぎるまで止まっている。,"Un seno lento, no un parpadeo: con ω = 0,62 una estrella tarda diez segundos o más en respirar una vez. Mueve el brillo ±14 % y el tamaño solo ±3 %, así que el campo titila sin dar nunca la impresión de pestañear. Como el flujo, se queda congelado hasta que la entrada supera la mitad.","Ein langsamer Sinus, kein Flackern: bei ω = 0,62 braucht ein Stern zehn Sekunden oder mehr für einen Atemzug. Er bewegt die Helligkeit um ±14 % und die Größe nur um ±3 %, sodass das Feld schimmert, ohne je zu blinzeln. Wie die Strömung bleibt es eingefroren, bis der Eintritt mehr als halb vollzogen ist.","Un sinus lent, pas un clignotement : à ω = 0,62 une étoile met dix secondes ou plus à respirer une fois. Il fait varier la luminosité de ±14 % et la taille de seulement ±3 %, si bien que le champ chatoie sans jamais sembler cligner. Comme le flux, il reste figé tant que l’entrée n’est pas à plus de la moitié.",math note
astra.m.reveal.title,"The entrance: scattered, then gathered",入场：先散布，再收拢,登場：散らばり、そして集まる,La entrada: dispersas y luego reunidas,"Der Eintritt: verstreut, dann versammelt","L’entrée : dispersées, puis rassemblées",math title
astra.m.reveal.vars,"A entrance progress from 0 to 1 · t₀ delay before it starts · T its length · δ a tiny per-star delay · r(A) how far a star has emerged (its size is √r, it is fully opaque once r reaches 0.2) · P_sky its random start position across 112% of the viewport · P_arm its place on the stroke · pull a smoothed ramp that starts between 14% and 32% and lasts 58% to 68% of T · R(θ) a swing of up to 0.66 rad around the centre while it travels",A：入场进度 0→1 · t₀：开始前的延迟 · T：时长 · δ：每颗星的一点点延迟 · r(A)：星浮现了多少（尺寸是 √r，r 到 0.2 就已完全不透明） · P_sky：它在 112% 视口范围内的随机起点 · P_arm：它在笔画上的位置 · pull：一段平滑的斜坡，从 14%…32% 处开始，持续 T 的 58%…68% · R(θ)：赶路途中绕中心最多 0.66 弧度的摆动,A：登場の進み 0→1 · t₀：始まる前の遅れ · T：長さ · δ：星ごとのごく小さな遅れ · r(A)：星がどれだけ現れたか（大きさは √r、r が 0.2 に達すると完全に不透明） · P_sky：ビューポートの 112% の範囲での無作為な出発点 · P_arm：筆致上の位置 · pull：14%〜32% で始まり T の 58%〜68% 続く滑らかな傾斜 · R(θ)：移動中に中心のまわりで最大 0.66 rad 揺れる,"A progreso de la entrada de 0 a 1 · t₀ retardo antes de empezar · T su duración · δ un pequeño retardo por estrella · r(A) cuánto ha emergido una estrella (su tamaño es √r y es opaca del todo cuando r llega a 0,2) · P_sky su posición inicial aleatoria en el 112 % de la ventana · P_arm su lugar en el trazo · pull una rampa suavizada que empieza entre el 14 % y el 32 % y dura del 58 % al 68 % de T · R(θ) un balanceo de hasta 0,66 rad alrededor del centro mientras viaja","A Eintrittsfortschritt von 0 bis 1 · t₀ Verzögerung vor dem Start · T seine Länge · δ eine winzige Verzögerung je Stern · r(A) wie weit ein Stern aufgetaucht ist (seine Größe ist √r, voll deckend ab r = 0,2) · P_sky seine zufällige Startposition über 112 % des Viewports · P_arm sein Platz auf dem Strich · pull eine geglättete Rampe, die zwischen 14 % und 32 % beginnt und 58 % bis 68 % von T dauert · R(θ) ein Schwingen um bis zu 0,66 rad um das Zentrum während der Reise","A progression de l’entrée de 0 à 1 · t₀ délai avant le départ · T sa durée · δ un délai infime par étoile · r(A) à quel point une étoile a émergé (sa taille est √r, elle est totalement opaque dès que r atteint 0,2) · P_sky sa position de départ aléatoire sur 112 % de la fenêtre · P_arm sa place sur le trait · pull une rampe lissée qui démarre entre 14 % et 32 % et dure de 58 % à 68 % de T · R(θ) un balancement jusqu’à 0,66 rad autour du centre pendant le trajet",math vars
astra.m.reveal.note,"The first thing you see is not a galaxy but a sky: within the first 14% of the entrance every star has faded in at 45% size, spread randomly over the whole viewport. Then, star by star, each one starts its pull toward its place on the stroke, swinging around the centre on the way and growing to full size. The 12% extra background stars never leave the sky. There is no fade-to-black at the end; the flow and the twinkle simply switch on as the last stars arrive.",你最先看到的不是星系，而是一片天：入场的前 14% 里，所有星都以 45% 的尺寸浮现出来，随机散在整个视口上。然后一颗接一颗地开始被拉向笔画上的位置，途中绕着中心摆一下，尺寸长到全大。多出来的 12% 背景星永远留在天上。结尾没有淡出：最后几颗星到位时，流动与闪烁就接着打开。,最初に見えるのは銀河ではなく空だ。登場の最初の 14% で、すべての星が 45% の大きさで現れ、ビューポート全体に無作為に散らばる。それから星は一つずつ筆致上の位置へ引き寄せられ始め、途中で中心のまわりを揺れ、全体の大きさへ育つ。追加の 12% の背景の星は空に残り続ける。終わりに暗転はない。最後の星が着くと、流れとまたたきがそのまま始まる。,"Lo primero que se ve no es una galaxia sino un cielo: en el primer 14 % de la entrada cada estrella ha aparecido al 45 % de su tamaño, repartida al azar por toda la ventana. Luego, una a una, cada estrella empieza a ser atraída hacia su sitio en el trazo, balanceándose alrededor del centro por el camino y creciendo hasta su tamaño completo. El 12 % extra de estrellas de fondo nunca abandona el cielo. No hay fundido a negro al final: el flujo y el parpadeo simplemente se encienden cuando llegan las últimas estrellas.","Das Erste, was man sieht, ist keine Galaxie, sondern ein Himmel: innerhalb der ersten 14 % des Eintritts ist jeder Stern bei 45 % Größe eingeblendet, zufällig über den ganzen Viewport verteilt. Dann beginnt Stern für Stern seinen Zug zu seinem Platz auf dem Strich, schwingt unterwegs um das Zentrum und wächst auf volle Größe. Die 12 % zusätzlichen Hintergrundsterne verlassen den Himmel nie. Am Ende gibt es kein Abblenden; Strömung und Funkeln schalten sich einfach ein, während die letzten Sterne ankommen.","La première chose visible n’est pas une galaxie mais un ciel : dans les premiers 14 % de l’entrée, chaque étoile est apparue à 45 % de sa taille, dispersée au hasard sur toute la fenêtre. Puis, une à une, chacune entame sa traction vers sa place sur le trait, se balance autour du centre en chemin et grandit jusqu’à sa taille pleine. Les 12 % d’étoiles de fond supplémentaires ne quittent jamais le ciel. Pas de fondu au noir à la fin : le flux et le scintillement s’allument simplement quand les dernières étoiles arrivent.",math note
astra.m.optics.title,The shape of a point,一个点的形状,点の形,La forma de un punto,Die Form eines Punkts,La forme d’un point,math title
astra.m.optics.vars,"d normalised distance from the point centre · core the dome every star is drawn with · ray the cross that only stars brighter than 1.45 receive · x, y normalised offsets · ⌀ the star’s scale · ⌀₀ base diameter, ⌀₁ diameter per unit of scale, both in CSS pixels · points thinner than 4 px are drawn with a cubic filter so they never vanish",d：到点心的归一化距离 · core：每颗星都用的穹顶形 · ray：只有亮度超过 1.45 的星才有的十字 · x、y：归一化偏移 · ⌀：星的尺度 · ⌀₀：基础直径，⌀₁：每单位尺度的直径，都是 CSS 像素 · 细于 4 px 的点用三次滤波画，永远不会消失,"d：点の中心からの正規化距離 · core：すべての星に使う丸い山形 · ray：明るさ 1.45 を超える星だけの十字 · x, y：正規化されたずれ · ⌀：星の尺度 · ⌀₀：基本直径、⌀₁：尺度 1 あたりの直径、どちらも CSS ピクセル · 4 px より細い点は三次フィルタで描き、決して消えない","d distancia normalizada al centro del punto · core la cúpula con que se dibuja cada estrella · ray la cruz que solo reciben las estrellas más brillantes que 1,45 · x, y desplazamientos normalizados · ⌀ escala de la estrella · ⌀₀ diámetro base, ⌀₁ diámetro por unidad de escala, ambos en píxeles CSS · los puntos más finos de 4 px se dibujan con un filtro cúbico para que nunca desaparezcan","d normierter Abstand zum Punktzentrum · core die Kuppel, mit der jeder Stern gezeichnet wird · ray das Kreuz, das nur Sterne heller als 1,45 erhalten · x, y normierte Versätze · ⌀ Maß des Sterns · ⌀₀ Basisdurchmesser, ⌀₁ Durchmesser je Maßeinheit, beide in CSS-Pixeln · Punkte dünner als 4 px werden mit einem kubischen Filter gezeichnet, damit sie nie verschwinden","d distance normalisée au centre du point · core le dôme avec lequel chaque étoile est dessinée · ray la croix que seules les étoiles plus lumineuses que 1,45 reçoivent · x, y décalages normalisés · ⌀ échelle de l’étoile · ⌀₀ diamètre de base, ⌀₁ diamètre par unité d’échelle, tous deux en pixels CSS · les points plus fins que 4 px sont dessinés avec un filtre cubique pour ne jamais disparaître",math vars
astra.m.optics.note,"Star sizes are in CSS pixels and do not scale with the viewport: on a small window the galaxy shrinks but the stars do not, which is why the same field looks denser on a laptop than on a large display. A star is a dome raised to 2.2, a bright one gets a faint cross, and the very small ones are anti-aliased with a cubic B-spline so a 1 px star still contributes energy proportional to its area.",星的尺寸是 CSS 像素，不随视口缩放：窗口小了星系会缩，星不会，所以同一片星空在笔记本上看起来比在大屏上更密。一颗星是一个 2.2 次方的穹顶，亮星带一个淡淡的十字，极小的星用三次 B 样条做抗锯齿，1 px 的星也照样按面积贡献能量。,星の大きさは CSS ピクセルで、ビューポートに合わせて伸縮しない。窓が小さければ銀河は縮むが星は縮まないので、同じ場がノート PC では大画面より密に見える。星は 2.2 乗の山形で、明るい星には淡い十字が付き、ごく小さな星は三次 B スプラインでアンチエイリアスされ、1 px の星も面積に比例したエネルギーを持つ。,"Los tamaños de las estrellas están en píxeles CSS y no escalan con la ventana: en una ventana pequeña la galaxia se encoge pero las estrellas no, por eso el mismo campo parece más denso en un portátil que en una pantalla grande. Una estrella es una cúpula elevada a 2,2, una brillante recibe una cruz tenue, y las muy pequeñas se suavizan con un B-spline cúbico para que una estrella de 1 px siga aportando energía proporcional a su área.","Sterngrößen sind in CSS-Pixeln und skalieren nicht mit dem Viewport: in einem kleinen Fenster schrumpft die Galaxie, die Sterne nicht – deshalb wirkt dasselbe Feld auf einem Laptop dichter als auf einem großen Display. Ein Stern ist eine Kuppel hoch 2,2, ein heller bekommt ein schwaches Kreuz, und die ganz kleinen werden mit einem kubischen B-Spline geglättet, sodass ein 1-px-Stern weiterhin Energie proportional zu seiner Fläche beiträgt.","Les tailles d’étoiles sont en pixels CSS et ne suivent pas la fenêtre : dans une petite fenêtre la galaxie rétrécit mais pas les étoiles, d’où un champ qui paraît plus dense sur un portable que sur un grand écran. Une étoile est un dôme élevé à la puissance 2,2, une brillante reçoit une croix ténue, et les toutes petites sont anticrénelées par une B-spline cubique pour qu’une étoile de 1 px apporte encore une énergie proportionnelle à son aire.",math note
astra.m.tonemap.title,Bloom and ACES,泛光与 ACES,ブルームと ACES,Resplandor y ACES,Bloom und ACES,Bloom et ACES,math title
astra.m.tonemap.vars,"C linear light summed in a float buffer · Y its luminance · θ bloom threshold, smoothed over 0.18 · mip_j five successive half-resolution levels, blended back with radius r · G a final 9-tap Gaussian · I_b bloom intensity · ACES the filmic curve at exposure 1, applied after dividing by 0.6 · sRGB the display encoding",C：在浮点缓冲里线性相加的光 · Y：它的亮度 · θ：泛光阈值，在 0.18 的范围内平滑 · mip_j：五级逐次减半的分辨率，按半径 r 逐级混回 · G：最后一次 9 tap 高斯 · I_b：泛光强度 · ACES：曝光 1 的电影曲线，先除以 0.6 再套用 · sRGB：显示编码,C：浮動小数バッファで線形に加算した光 · Y：その輝度 · θ：ブルームのしきい値、0.18 の幅で滑らかにする · mip_j：解像度を半分ずつ下げた五段、半径 r で混ぜ戻す · G：最後の 9 タップのガウス · I_b：ブルームの強さ · ACES：露出 1 のフィルム曲線、0.6 で割ってから適用 · sRGB：表示用エンコード,"C luz lineal sumada en un búfer flotante · Y su luminancia · θ umbral del resplandor, suavizado sobre 0,18 · mip_j cinco niveles sucesivos a media resolución, mezclados de vuelta con radio r · G una gaussiana final de 9 muestras · I_b intensidad del resplandor · ACES la curva fílmica a exposición 1, aplicada tras dividir por 0,6 · sRGB la codificación de pantalla","C linear summiertes Licht in einem Float-Puffer · Y seine Luminanz · θ Bloom-Schwelle, über 0,18 geglättet · mip_j fünf aufeinanderfolgende Halbauflösungsstufen, mit Radius r zurückgemischt · G eine abschließende 9-Tap-Gaußfilterung · I_b Bloom-Intensität · ACES die filmische Kurve bei Belichtung 1, nach Division durch 0,6 angewandt · sRGB die Anzeigekodierung","C lumière linéaire sommée dans un tampon flottant · Y sa luminance · θ seuil du bloom, adouci sur 0,18 · mip_j cinq niveaux successifs à demi-résolution, remélangés avec le rayon r · G un gaussien final à 9 échantillons · I_b intensité du bloom · ACES la courbe filmique à exposition 1, appliquée après division par 0,6 · sRGB l’encodage d’affichage",math vars
astra.m.tonemap.note,"Light is summed linearly in a half-float buffer; nothing is blended in display space. Almost everything passes the 0.08 threshold, so the bloom is not a highlight effect but a soft veil that gives each arm its haze. ACES then compresses the core to white and keeps the mid-tones coloured. The offline renderer runs the same chain with Pillow, so poster, GIF and video are the same picture as the page.",光在半精度浮点缓冲里线性相加，没有任何东西在显示空间里混合。几乎所有的光都过得了 0.08 的阈值，所以泛光不是「高光特效」，而是一层柔软的雾，臂上的薄雾就是它给的。随后 ACES 把核心压成白、把中间调保留成彩色。离线渲染器用 Pillow 跑同一条链，静帧、GIF、视频与页面画的是同一张图。,光は半精度浮動小数バッファで線形に加算され、表示空間で混ぜるものは何もない。ほぼすべての光が 0.08 のしきい値を越えるので、ブルームはハイライト効果ではなく、腕に薄い靄を与える柔らかなヴェールになる。次に ACES がコアを白へ圧縮し、中間調の色を保つ。オフラインのレンダラは同じ連鎖を Pillow で走らせるので、静止画・GIF・動画はページと同じ絵になる。,"La luz se suma linealmente en un búfer de media precisión; nada se mezcla en el espacio de pantalla. Casi todo supera el umbral de 0,08, así que el resplandor no es un efecto de altas luces sino un velo suave que da a cada brazo su neblina. Luego ACES comprime el núcleo a blanco y mantiene coloreados los medios tonos. El renderizador sin conexión ejecuta la misma cadena con Pillow, de modo que cartel, GIF y vídeo son la misma imagen que la página.","Licht wird linear in einem Half-Float-Puffer summiert; nichts wird im Anzeigeraum gemischt. Fast alles überschreitet die Schwelle 0,08, der Bloom ist also kein Glanzlichteffekt, sondern ein weicher Schleier, der jedem Arm seinen Dunst gibt. ACES komprimiert dann den Kern zu Weiß und hält die Mitteltöne farbig. Der Offline-Renderer fährt dieselbe Kette mit Pillow, sodass Poster, GIF und Video dasselbe Bild sind wie die Seite.","La lumière est sommée linéairement dans un tampon en demi-flottant ; rien n’est mélangé dans l’espace d’affichage. Presque tout franchit le seuil de 0,08 : le bloom n’est donc pas un effet de hautes lumières mais un voile doux qui donne à chaque bras sa brume. ACES compresse ensuite le noyau vers le blanc et garde les tons moyens colorés. Le rendu hors ligne exécute la même chaîne avec Pillow, si bien qu’affiche, GIF et vidéo sont la même image que la page.",math note
astra.m.flare.title,Lens flare,镜头光晕,レンズフレア,Destello de lente,Lens Flare,Reflet d’objectif,math title
astra.m.flare.vars,"d aspect-corrected distance from the core in viewport units · h halo strength · s streak strength · c the core’s screen position, ghosts placed along the line to the centre · I_f overall flare intensity · the brightest star of each stroke is a secondary source at 55% strength",d：以视口为单位、按宽高比校正后到核心的距离 · h：光环强度 · s：条纹强度 · c：核心在屏幕上的位置，鬼影排在它到画面中心的连线上 · I_f：光晕总强度 · 每条笔画最亮的星是 55% 强度的次光源,d：ビューポート単位で縦横比を補正した、コアからの距離 · h：ハローの強さ · s：筋の強さ · c：コアの画面上の位置、ゴーストは画面中心へ向かう線上に置かれる · I_f：フレア全体の強さ · 各筆致で最も明るい星は 55% の強さの副光源,"d distancia al núcleo corregida por la relación de aspecto, en unidades de ventana · h fuerza del halo · s fuerza de las estrías · c posición del núcleo en pantalla, con los fantasmas colocados en la línea hacia el centro · I_f intensidad global del destello · la estrella más brillante de cada trazo es una fuente secundaria al 55 %","d seitenverhältniskorrigierter Abstand zum Kern in Viewport-Einheiten · h Halostärke · s Streifenstärke · c Bildschirmposition des Kerns, Geister entlang der Linie zur Mitte · I_f Gesamtintensität des Flares · der hellste Stern jedes Strichs ist eine Sekundärquelle mit 55 % Stärke","d distance au noyau corrigée du rapport d’aspect, en unités de fenêtre · h force du halo · s force des traînées · c position du noyau à l’écran, fantômes placés sur la ligne vers le centre · I_f intensité globale du reflet · l’étoile la plus brillante de chaque trait est une source secondaire à 55 %",math vars
